!Num,Nombre,Data,#Uni,GerMin,GerMax,ICP,IH,CVaria,CTransp,CoefE
124.0000,KOTRI_B3LNG,2019-01-01,1,0,0.0000,550.0000,550.0000,0,17.200413223140494,???
81.0000,GRANGE_PWR,2030-01-01,1,0,,550.0000,550.0000,0,0,???
81.0000,GRANGE_PWR,2030-01-01,1,0,,550.0000,550.0000,0,0,???
85.0000,LUCKY_PWR,2021-07-01,1,0,606.5930,550.0000,550.0000,0,0,???
85.0000,LUCKY_PWR,2021-07-01,1,0,606.5930,550.0000,550.0000,0,0,???
89.0000,ORACLE_COAL,2023-02-01,1,0,0.0000,550.0000,550.0000,0,0,???
89.0000,ORACLE_COAL,2023-02-01,1,0,0.0000,550.0000,550.0000,0,0,???
90.0000,JAMSHORO,2022-06-01,1,0,1243.5200,550.0000,550.0000,0,0,???
90.0000,JAMSHORO,2022-06-01,1,0,1243.5200,550.0000,550.0000,0,0,???
91.0000,SIDDIQSONS,2021-07-01,1,0,303.6000,550.0000,550.0000,0,0,???
91.0000,SIDDIQSONS,2021-07-01,1,0,303.6000,550.0000,550.0000,0,0,???
99.0000,NOORIABAD,2019-01-01,1,0,,550.0000,550.0000,0,134.7,???
99.0000,NOORIABAD,2019-01-01,1,0,,550.0000,550.0000,0,134.7,???
100.0000,NURIABADPHSD,2019-01-01,1,0,0.0000,550.0000,550.0000,0,194.35714285714283,???
100.0000,NURIABADPHSD,2019-01-01,1,0,0.0000,550.0000,550.0000,0,194.35714285714283,???
154.0000,SPS_FSD_B5,2014-01-01,1,0,,550.0000,550.0000,0,30.355970714466043,???
154.0000,SPS_FSD_B5,2014-01-01,1,0,,550.0000,550.0000,0,30.355970714466043,???
155.0000,G3SPSFsdFOB5,2014-01-01,1,0,,550.0000,550.0000,0,30.355970714466043,???
155.0000,G3SPSFsdFOB5,2014-01-01,1,0,,550.0000,550.0000,0,30.355970714466043,???
