!Num,Nombre,Data,#Uni,GerMin,GerMax,ICP,IH,CVaria,CTransp,CoefE
101.0000,Tarbela,1977-05-01,1,0,3478.0000,550.0000,550.0000,0,761.7857142857143,???
101.0000,Tarbela,1977-05-01,1,0,3478.0000,550.0000,550.0000,0,761.7857142857143,???
126.0000,Tarbela-IV,2020-02-01,1,0,1410.0000,550.0000,550.0000,0,840.2142857142858,???
126.0000,Tarbela-IV,2020-02-01,1,0,1410.0000,550.0000,550.0000,0,840.2142857142858,???
