!Num,...Nombre...,#Uni,Tipo,.PotIns,.GerMin,.GerMax,..Teif.,..Ih...,.CVaria,.MR.,Comb,...G1..,.CEsp.1,...G2..,.CEsp.2,...G3..,.CEsp.3,NAdF,...1,...2,...3,ComT,CTransp,StartUp,sfal,NGas,NuCC,..NombreCC..,CoefE.
272.0000,MZFRGRH2_B1,1,0,182.5000,0,182.5000,0.06278538812785388,0.06278538812785388,26.442148760330575,0,2,100,0.011449319317594348,0,0,0,0,1,149.0000,0,0,0,0,0,0,0,0,0,1
149.0000,MGARH2_B1RFO,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,32.31002272153496,0,5,100,0.00027645897435897435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273.0000,MZFRGRH3_B1,1,0,183.5000,0,183.5000,0.06278538812785388,0.06278538812785388,27.09706924806585,0,2,100,0.011064621747372048,0,0,0,0,1,150.0000,0,0,0,0,0,0,0,0,0,1
150.0000,MGARH3_B1RFO,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,32.31002272153496,0,5,100,0.00026690000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152.0000,MZFRGRH5_B3,1,0,181.4400,0,181.4400,0.06278538812785388,0.06278538812785388,32.31002272153496,0,5,100,0.0002837717948717949,0,0,0,0,1,275.0000,0,0,0,0,0,0,0,0,0,1
275.0000,MGARH5_B3LNG,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,26.442148760330575,0,2,100,0.011742822677925212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153.0000,MZFRGRH6_B3,1,0,173.8800,0,173.8800,0.06278538812785388,0.06278538812785388,32.31002272153496,0,5,100,0.00029153333333333334,0,0,0,0,1,153.0000,0,0,0,0,0,0,0,0,0,1
276.0000,MGARH6_B3LNG,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,26.442148760330575,0,2,100,0.012053420644494228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0000,AES LALPIR,1,0,350.0000,0,350.0000,0.03424657534246575,0.03424657534246575,44.955044955044954,0,5,100,0.00022964656233515036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0000,AES PAK GEN,1,0,350.0000,0,350.0000,0.06278538812785388,0.06278538812785388,44.955044955044954,0,5,100,0.00022964656233515036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.0000,KAPCO-B1,1,0,354.0000,0,354.0000,0.06278538812785388,0.06278538812785388,73.44525547445255,0,1,100,0.00795528441658566,0,0,0,0,3,20.0000,279.0000,18.0000,0,0,0,0,0,0,0,1
279.0000,KAPCO_B1_LNG,1,0,330.0000,0,330.0000,0.06278538812785388,0.06278538812785388,73.44525547445255,0,2,100,0.007944558039754634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.0000,KAPCO_B1_RFO,1,0,341.0000,0,341.0000,0.06278538812785388,0.06278538812785388,127.44525547445254,0,5,100,0.00019020344287949922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.0000,KAPCO_B1_HSD,1,0,341.0000,0,341.0000,0.06278538812785388,0.06278538812785388,73.83941605839415,0,6,100,0.20906340057636888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
286.0000,KAPCO-B2-220,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,85.92700729927007,0,1,100,0.008713840378104784,0,0,0,0,3,287.0000,289.0000,288.0000,0,0,0,0,0,0,0,1
287.0000,KAP-B2-220LN,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,85.92700729927007,0,2,100,0.008713840378104784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
288.0000,KAP-B2-220FO,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,179.34306569343067,0,5,100,0.00020876369327073554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
289.0000,KAP-B2-220HS,1,0,0.0000,0,0.0000,0.06278538812785388,0.06278538812785388,99.32846715328468,0,6,100,0.22945244956772334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
